Human|[Human]
Pediatrics|[Pediatrics]
Anura|[Anura$Anuras$Salientias$Frogs and Toads$Toads and Frogs$Salientia]
Surgery specialty|[Surgery]
Surgical aspects|[operative procedures$surgery$operations$invasive procedures$operative therapy]
Fasting|[Fasting]
Plant Extracts|[Extracts, Plant$Plant Extracts]
Rectal Diseases|[Disease, Rectal$Diseases, Rectal$Rectal Disease$Rectal Diseases]
Rectum|[Rectum$Rectums]
Psychiatry|[Psychiatry]
International Cooperation|[Cooperation, International$International Cooperation]
Arterial Occlusive Diseases|[Arterial Obstructive Disease$Arterial Obstructive Diseases$Disease, Arterial Obstructive$Diseases, Arterial Obstructive$Obstructive Disease, Arterial$Obstructive Diseases, Arterial$Arterial Occlusive Disease$Arterial Occlusive Diseases$Disease, Arterial Occlusive$Diseases, Arterial Occlusive$Occlusive Disease, Arterial$Occlusive Diseases, Arterial]
Triiodothyronine|[Liothyronine$Triiodothyronine$L-Tyrosine, O-(4-hydroxy-3-iodophenyl)-3,5-diiodo-$T3 Thyroid Hormone$Thyroid Hormone, T3]
Castration|[Castration$Castrations]
Cerebral Angiography|[Angiographies, Cerebral$Angiography, Cerebral$Cerebral Angiographies$Cerebral Angiography]
Abdomen|[Abdomen$Abdomens]
Hypersensitivity|[Allergies$Allergy$Hypersensitivities$Hypersensitivity]
Parents|[Parent$Parents]
Pseudomonas aeruginosa|[Pseudomonas aeruginosa$Pseudomonas pyocyanea]
Tryptophan|[Levotryptophan$Tryptophan$L Tryptophan$L-Tryptophan]
Hormones|[Hormone$Hormones]
Diabetes Mellitus, Experimental|[Diabetes Mellitus, Experimental$Experimental Diabetes Mellitus]
Oligodeoxyribonucleotides|[Oligodeoxyribonucleotides]
Palliative Care|[Palliative Treatment$Palliative Treatments$Treatment, Palliative$Treatments, Palliative$Care, Palliative$Palliative Care$Palliative Therapy$Therapy, Palliative]
Thrombophlebitis|[Thrombophlebitides$Thrombophlebitis]
Community Health Services|[Community Health Service$Community Health Services$Health Service, Community$Health Services, Community$Service, Community Health$Services, Community Health]
Glaucoma|[Glaucomas$Glaucoma]
Calcinosis|[Calcinoses$Calcinosis$Calcification, Pathologic$Pathologic Calcification]
Disease Progression|[Disease Progression$Disease Progressions$Progression, Disease$Progressions, Disease]
Health Status|[Health Status$Status, Health$Health Level$Health Levels$Level of Health]
Heart Transplantation|[Grafting, Heart$Graftings, Heart$Heart Grafting$Heart Graftings$Heart Transplantation$Heart Transplantations$Transplantation, Heart$Transplantations, Heart$Cardiac Transplantation$Cardiac Transplantations$Transplantation, Cardiac$Transplantations, Cardiac]
Respiratory Insufficiency|[Respiratory Failure$Respiratory Insufficiency]
Fever|[Fever$Fevers$Hyperthermia$Pyrexia$Pyrexias$Hyperthermias]
China|[China$Mainland China]
Health Promotion|[Health Promotion$Health Promotions$Promotion of Health$Promotions, Health$Promotion, Health]
Nurses|[Nurse$Nurses$Nursing Personnel$Personnel, Nursing]
Discipline of Nursing|[Nursing$Nursings]
nursing therapy|[nursing$nursing care]
Salmonella typhimurium|[Salmonella typhimurium]
Fetal Death|[Deaths, Fetal$Fetal Death$Fetal Deaths$Death, Fetal$Stillbirth$Stillbirths]
indole|[indole]
Indoles|[Indoles]
DNA Damage|[Damage, DNA$Damages, DNA$DNA Damage$DNA Damages$DNA Injuries$DNA Injury$Injuries, DNA$Injury, DNA]
Black race|[Blacks$Negro$Negroes]
Education, Nursing|[Education, Nursing$Educations, Nursing$Nursing Education$Nursing Educations]
Neuropsychological Tests|[Neuropsychological Test$Neuropsychological Tests$Test, Neuropsychological$Tests, Neuropsychological$Neuropsychologic Test$Neuropsychologic Tests$Test, Neuropsychologic$Tests, Neuropsychologic]
Infection|[Infection$Infections]
Surgical Wound Infection|[Infection, Surgical Wound$Infections, Surgical Wound$Surgical Wound Infection$Wound Infection, Surgical$Wound Infections, Surgical$Surgical Wound Infections]
Streptococcal Infections|[Infection, Streptococcal$Infections, Streptococcal$Streptococcal Infections$Streptococcal Infection]
Growth|[Growth]
growth aspects|[growth]
Learning|[Learning$Learnings]
Technetium|[Technetium]
Crystallization|[Crystallization$Crystallizations]
Glucose Tolerance Test|[Glucose Tolerance Test$Test, Glucose Tolerance$Tests, Glucose Tolerance$Glucose Tolerance Tests]
Glycine|[Acid, Aminoacetic$Aminoacetic Acid$Glycine]
Protein Structure, Secondary|[Secondary Protein Structure$Protein Structure, Secondary$Protein Structures, Secondary$Secondary Protein Structures$Structure, Secondary Protein$Structures, Secondary Protein]
Staphylococcus|[Staphylococcus]
Precipitin Tests|[Precipitin Test$Precipitin Tests$Test, Precipitin$Tests, Precipitin]
Aorta, Thoracic|[Aorta, Thoracic$Aortas, Thoracic$Thoracic Aortas$Thoracic Aorta]
Feeding Behavior|[Behavior, Eating$Behaviors, Eating$Eating Behavior$Eating Behaviors$Behavior, Feeding$Behaviors, Feeding$Feeding Behavior$Feeding Behaviors]
Dementia|[Dementia$Dementias$Amentia$Amentias]
Malpractice|[Malpractice$Negligence, Professional]
Suicide|[Suicides$Suicide]
Tomography, Emission-Computed|[CAT Scan, Radionuclide$CAT Scans, Radionuclide$Radionuclide CAT Scan$Radionuclide CAT Scans$Scan, Radionuclide CAT$Scans, Radionuclide CAT$Computed Tomographic Scintigraphy$Scintigraphy, Computed Tomographic$Tomographic Scintigraphy, Computed$Emission-Computed Tomography$Tomography, Emission Computed$Tomography, Emission-Computed$Emission Computed Tomography$Computerized Emission Tomography$Emission Tomography, Computerized$Tomography, Computerized Emission]
Informed Consent|[Consent, Informed$Informed Consent]
Radiation therapy|[Radiotherapy$Radiotherapies]
radiotherapeutic|[radiotherapy$radiation therapy]
Hospital Administration|[Administration, Hospital$Administrations, Hospital$Hospital Administration$Hospital Administrations]
Lymphoma, Non-Hodgkin's|[Lymphoma, Non Hodgkin's$Lymphoma, Non-Hodgkin$Lymphoma, Non-Hodgkin's$Lymphoma, Non-Hodgkins$Non Hodgkin's Lymphoma$Non-Hodgkin Lymphoma$Non-Hodgkin's Lymphoma$Non-Hodgkins Lymphoma$Lymphoma, Non Hodgkin$Lymphoma, Non Hodgkins$Non Hodgkin Lymphoma$Lymphoma, Nonhodgkin$Lymphoma, Nonhodgkin's$Lymphoma, Nonhodgkins$Nonhodgkin's Lymphoma$Nonhodgkins Lymphoma]
Managed Care Programs|[Managed Care Program$Managed Care Programs$Program, Managed Care$Programs, Managed Care$Managed Health Care Insurance Plans]
Aspartate Transaminase|[Aminotransferase, Aspartate$Aspartate Aminotransferase$Aminotransferases, Aspartate$Aspartate Aminotransferases$Apoaminotransferase, Aspartate$Aspartate Apoaminotransferase$Aspartate Transaminase$Transaminase, Aspartate$Glutamate-Aspartate Transaminase$Transaminase, Glutamate-Aspartate$Glutamate Aspartate Transaminase$Glutamic-Oxaloacetic Transaminase$Transaminase, Glutamic-Oxaloacetic$Glutamic Oxaloacetic Transaminase$Aminotransferase, L-Aspartate-2-Oxoglutarate$L-Aspartate-2-Oxoglutarate Aminotransferase$L Aspartate 2 Oxoglutarate Aminotransferase$L-Aspartate:2-oxoglutarate aminotransaminase]
Home Care Services|[Care, Domiciliary$Domiciliary Care$Home Care Service$Home Care Services$Service, Home Care$Services, Home Care$Care Services, Home]
Lung Diseases, Obstructive|[Disease, Obstructive Lung$Diseases, Obstructive Lung$Lung Disease, Obstructive$Lung Diseases, Obstructive$Obstructive Lung Disease$Obstructive Lung Diseases]
Drug Evaluation, Preclinical|[Drug Evaluation, Preclinical$Drug Evaluations, Preclinical$Evaluation, Preclinical Drug$Evaluations, Preclinical Drug$Preclinical Drug Evaluation$Preclinical Drug Evaluations$Drug Screening$Drug Screenings$Screening, Drug$Screenings, Drug$Evaluation Studies, Drug, Pre-Clinical$Drug Evaluation Studies, Preclinical$Evaluation Studies, Drug, Preclinical]
Prednisolone|[Prednisolone$Pregna-1,4-diene-3,20-dione, 11,17,21-trihydroxy-, (11beta)-]
Sex Characteristics|[Characteristic, Sex$Characteristics, Sex$Sex Characteristic$Sex Characteristics$Difference, Sex$Differences, Sex$Sex Difference$Sex Differences$Dimorphism, Sex$Dimorphisms, Sex$Sex Dimorphism$Sex Dimorphisms]
Lysine|[Lysine$L-Lysine$L Lysine]
Registries|[Registries$Registry]
Photic Stimulation|[Stimulation, Visual$Stimulations, Visual$Visual Stimulation$Visual Stimulations$Photic Stimulation$Photic Stimulations$Stimulation, Photic$Stimulations, Photic]
Carotid Arteries|[Arteries, Carotid$Artery, Carotid$Carotid Arteries$Carotid Artery]
Common carotid artery|[Carotid Artery, Common$Arteries, Common Carotid$Artery, Common Carotid$Carotid Arteries, Common$Common Carotid Arteries$Common Carotid Artery]
Cysteine|[Cysteine$Half-Cystine$Half Cystine$L-Cysteine$L Cysteine]
Plastic Surgery Specialty|[Plastic Surgery$Surgery, Plastic]
Rural Population|[Population, Rural$Populations, Rural$Rural Population$Rural Populations]
Skull|[Cranium$Skull$Skulls]
Electron Spin Resonance Spectroscopy|[Electron Paramagnetic Resonance$Paramagnetic Resonance, Electron$Resonance, Electron Paramagnetic$Electron Spin Resonance$Resonance, Electron Spin$Paramagnetic Resonance$Resonance, Paramagnetic$Electron Spin Resonance Spectroscopy]
Mice, Inbred CBA|[Mice, CBA$Mouse, CBA$CBA Mice$CBA Mouse$CBA Mice, Inbred$CBA Mouse, Inbred$Inbred CBA Mice$Inbred CBA Mouse$Mice, Inbred CBA$Mouse, Inbred CBA]
Reverse Transcriptase Polymerase Chain Reaction|[Polymerase Chain Reaction, Reverse Transcriptase$Reverse Transcriptase Polymerase Chain Reaction$RT-PCR$RTPCR]
Drosophila melanogaster|[Drosophila melanogaster]
Employment|[Employment]
Social support|[Social Support$Support, Social]
Extracellular Space|[Extracellular Space$Extracellular Spaces$Space, Extracellular$Spaces, Extracellular$Intercellular Space$Intercellular Spaces$Space, Intercellular$Spaces, Intercellular]
Goats|[Caprine$Caprines$Goat$Goats]
Radiation Dosage|[Dosage, Radiation$Dosages, Radiation$Radiation Dosage$Radiation Dosages]
Hemolysis|[Hemolysis]
Urine|[Urine]
In Urine|[urine]
Protein Precursors|[Precursors, Protein$Protein Precursors]
Russia|[Russian Federation (Europe)$Russian S.F.S.R.$Russia$Russian SFSR]
Phosphorus|[Phosphorus]
Vascular Diseases|[Diseases, Vascular$Vascular Disease$Vascular Diseases$Disease, Vascular]
Cardiac Surgery procedures|[Cardiac Surgical Procedure$Cardiac Surgical Procedures$Procedure, Cardiac Surgical$Procedures, Cardiac Surgical$Surgical Procedure, Cardiac$Surgical Procedures, Cardiac$Heart Surgical Procedure$Heart Surgical Procedures$Procedure, Heart Surgical$Procedures, Heart Surgical$Surgical Procedure, Heart$Surgical Procedures, Heart]
Chi-Square Distribution|[Chi Square Distribution$Chi-Square Distribution$Chi-Square Distributions$Distribution, Chi-Square$Distributions, Chi-Square]
Serotyping|[Serotyping$Serotypings]
Occupational Medicine|[Industrial Medicine$Medicine, Industrial$Medicine, Occupational$Occupational Medicine]
Hemagglutination Tests|[Hemagglutination Test$Hemagglutination Tests$Test, Hemagglutination$Tests, Hemagglutination]
Emotions|[Emotion$Emotions]
Pulmonary Alveoli|[Alveoli, Pulmonary$Alveolus, Pulmonary$Pulmonary Alveoli$Pulmonary Alveolus]
Insurance, Health|[Health Insurance$Insurance, Health]
DNA Probes|[DNA Hybridization Probes$Hybridization Probes, DNA$Probes, DNA Hybridization$DNA Probes$Probes, DNA]
Gonadorelin|[FSH Releasing Hormone$FSH-Releasing Hormone$Hormone, FSH-Releasing$GnRH$Gonadoliberin$Gonadotropin Releasing Hormone$Gonadotropin-Releasing Hormone$Hormone, Gonadotropin-Releasing$LFRH$Hormone, LH-Releasing$LH Releasing Hormone$LH-Releasing Hormone$Hormone, LH-FSH Releasing$LH FSH Releasing Hormone$LH-FSH Releasing Hormone$Releasing Hormone, LH-FSH$LHFSHRH$LHRH$Luliberin$Gonadorelin$Hormone, Luteinizing Hormone-Releasing$Luteinizing Hormone-Releasing Hormone$Gn-RH$Hormone, LHFSH Releasing$LHFSH Releasing Hormone$Releasing Hormone, LHFSH$LH-RH$Luteinizing hormone-releasing factor (pig)]
pyridine|[pyridine]
Pyridines|[Pyridines]
Periodontal Diseases|[Disease, Periodontal$Diseases, Periodontal$Periodontal Diseases$Periodontal Disease$Parodontoses$Parodontosis]
Home Nursing|[Care, Non-Professional Home$Home Care, Non Professional$Home Care, Non-Professional$Non-Professional Home Care$Home Nursing$Nursing, Home$Care, Nonprofessional Home$Home Care, Nonprofessional$Nonprofessional Home Care]
Nursing Homes|[Home, Nursing$Homes, Nursing$Nursing Home$Nursing Homes]
Endopeptidases|[Endopeptidases$Peptide Peptidohydrolases$Proteases$Proteinases]
Solvents|[Solvents]
Neurons, Afferent|[Afferent Neuron$Afferent Neurons$Neuron, Afferent$Neurons, Afferent$Neuron, Sensory$Neurons, Sensory$Sensory Neuron$Sensory Neurons]
Adenosine Diphosphate|[5'-Pyrophosphate, Adenosine$Adenosine 5' Pyrophosphate$Adenosine 5'-Pyrophosphate$Adenosine Diphosphate$Diphosphate, Adenosine$Adenosine Pyrophosphate$Pyrophosphate, Adenosine$ADP$Adenosine 5'-(trihydrogen diphosphate)]
Cerebral Hemorrhage|[Cerebral Hemorrhage$Cerebral Hemorrhages$Hemorrhage, Cerebral$Hemorrhages, Cerebral$Hemorrhage, Intracerebral$Hemorrhages, Intracerebral$Intracerebral Hemorrhage$Intracerebral Hemorrhages$Cerebrum Hemorrhage$Cerebrum Hemorrhages$Hemorrhage, Cerebrum$Hemorrhages, Cerebrum$Cerebral Parenchymal Hemorrhage$Cerebral Parenchymal Hemorrhages$Hemorrhage, Cerebral Parenchymal$Hemorrhages, Cerebral Parenchymal$Parenchymal Hemorrhage, Cerebral$Parenchymal Hemorrhages, Cerebral$Brain Hemorrhage, Cerebral$Brain Hemorrhages, Cerebral$Cerebral Brain Hemorrhage$Cerebral Brain Hemorrhages$Hemorrhage, Cerebral Brain$Hemorrhages, Cerebral Brain]
Internship and Residency|[Internship and Residency$Residency and Internship]
Neurotransmitters|[Nerve Transmitter Substances$Substances, Nerve Transmitter$Transmitter Substances, Nerve$Neurotransmitters$Neurotransmitter]
Bicarbonates|[Bicarbonates$Hydrogen Carbonates$Carbonates, Hydrogen]
History of Medicine, Ancient|[History of Medicine, Ancient$Ancient History (Medicine)$Ancient History Medicine$Ancient History Medicines$Ancient History of Medicine$History Medicine, Ancient$History Medicines, Ancient$Medicine Ancient History$Medicine, Ancient History$Medicines, Ancient History$Ancient Histories (Medicine)$Histories, Ancient (Medicine)$History, Ancient (Medicine)]
Creatine Kinase|[ADP Phosphocreatine Phosphotransferase$Phosphocreatine Phosphotransferase, ADP$Phosphotransferase, ADP Phosphocreatine$Creatine Kinase$Kinase, Creatine$Creatine Phosphokinase$Phosphokinase, Creatine$ATP Creatine Phosphotransferase$Creatine Phosphotransferase, ATP$Phosphotransferase, ATP Creatine$ATP:creatine N-phosphotransferase]
Population Surveillance|[Population Surveillance$Surveillance, Population$Public Health Surveillance$Surveillance, Public Health]
Adenosine|[Adenosine]
Epidemiologic Methods|[Epidemiologic Method$Epidemiologic Methods$Epidemiological Method$Epidemiological Methods$Method, Epidemiologic$Method, Epidemiological$Methods, Epidemiologic$Methods, Epidemiological]
Allergens|[Allergens]
Hydrogen Peroxide|[Hydrogen Peroxide$Peroxide, Hydrogen$Hydroperoxide$Hydrogen Peroxide (H2O2)$Hydrogen peroxide (H2O2)]
Anemia|[Anemia$Anemias]
Mortality Vital Statistics|[Mortalities$Mortality]
Aspects of mortality statistics|[mortality]
Ovum|[Egg$Ova$Ovum$Egg, Unfertilized$Eggs, Unfertilized$Unfertilized Egg$Unfertilized Eggs]
Femoral Artery|[Femoral Arteries$Arteries, Femoral$Artery, Femoral$Femoral Artery]
Norway|[Norway]
Killer Cells, Natural|[Cell, Natural Killer$Cells, Natural Killer$Killer Cell, Natural$Killer Cells, Natural$Natural Killer Cell$Natural Killer Cells$Cell, NK$Cells, NK$NK Cell$NK Cells]
Feedback|[Feedback]
Glycosaminoglycans|[Glycosaminoglycans$Mucopolysaccharides]
Knowledge, Attitudes, Practice|[Knowledge, Attitudes, Practice]
Pulmonary Circulation|[Circulation, Pulmonary$Pulmonary Circulation$Circulation, Respiratory$Respiratory Circulation]
Adjuvants, Immunologic|[Adjuvant, Immunologic$Adjuvants, Immunologic$Immunologic Adjuvant$Immunologic Adjuvants$Immunoactivators$Immunoadjuvants$Immunomodulators$Immunopotentiators$Immunostimulants$Adjuvants, Immunological$Immunological Adjuvants$Immunological Adjuvant$Adjuvant, Immunological]
Peptic Ulcer|[Gastroduodenal Ulcer$Gastroduodenal Ulcers$Ulcer, Gastroduodenal$Ulcers, Gastroduodenal$Peptic Ulcer$Peptic Ulcers$Ulcers, Peptic$Ulcer, Peptic]
Hypothyroidism|[Hypothyroidism$Hypothyroidisms]
Parathyroid Hormones|[Parathormone$Parathyrin$Parathyroid Hormone (1-84)$Hormone, Parathyroid$Hormones, Parathyroid$Parathyroid Hormone$Parathyroid Hormones$PTH (1-84)]
Anthropometry|[Anthropometry]
Nitric-Oxide Synthase|[Synthase, EDRF$EDRF Synthase$Endothelium Derived Growth Factor Synthase$Endothelium-Derived Growth Factor Synthase$Guanylyl Cyclase-Activating Factor Synthase$Guanylyl Cyclase Activating Factor Synthase$Nitric Oxide Synthase$Nitric-Oxide Synthase$Synthase, Nitric-Oxide$Nitric Oxide Synthetase$Nitric-Oxide Synthetase$Synthetase, Nitric-Oxide$NO Synthase$Synthase, NO$L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)]
Occupational Exposure|[Exposure, Occupational$Exposures, Occupational$Occupational Exposure$Occupational Exposures]
Gastrointestinal System|[Gastrointestinal System$Gastrointestinal Systems$System, Gastrointestinal$Systems, Gastrointestinal]
Patient advocacy|[Advocacy, Patient$Patient Advocacy]
Cystic Fibrosis|[Cystic Fibrosis$Fibrosis, Cystic$Fibrocystic Disease of Pancreas$Pancreas Fibrocystic Disease$Pancreas Fibrocystic Diseases$Mucoviscidoses$Mucoviscidosis$Cystic Fibrosis, Pancreatic$Fibrosis, Pancreatic Cystic$Pancreatic Cystic Fibroses$Pancreatic Cystic Fibrosis]
Intubation, Intratracheal|[Endotracheal Intubations$Intubation, Endotracheal$Intubations, Endotracheal$Endotracheal Intubation$Intratracheal Intubation$Intratracheal Intubations$Intubation, Intratracheal$Intubations, Intratracheal]
Tissue Donors|[Donors, Tissue$Tissue Donor$Tissue Donors$Donor, Tissue]
Methionine|[Methionine$L-Methionine$L-Isomer Methionine$Methionine, L Isomer$Methionine, L-Isomer]
Schizophrenic Psychology|[Psychology, Schizophrenic$Schizophrenic Psychology]
Estrogen Receptors|[Estrogen Receptors$Receptors, Estrogen]
Labor (Childbirth)|[Childbirth$Childbirths$Labor$Labor, Obstetric$Obstetric Labor]
Nurse-Patient Relations|[Nurse Patient Relationship$Nurse Patient Relationships$Patient Relationship, Nurse$Relationship, Nurse Patient$Relationships, Nurse Patient$Patient Relationships, Nurse$Nurse Patient Relations$Nurse-Patient Relation$Nurse-Patient Relations$Relations, Nurse-Patient$Patient Relations, Nurse$Relations, Nurse Patient]
Emergency Service, Hospital|[Emergency Service, Hospital$Emergency Services, Hospital$Hospital Emergency Service$Hospital Emergency Services$Service, Hospital Emergency$Services, Hospital Emergency$Emergencies, Hospital Service$Emergency Hospital Service$Emergency Hospital Services$Emergency, Hospital Service$Hospital Service Emergencies$Hospital Service Emergency$Hospital Service, Emergency$Hospital Services, Emergency$Service Emergencies, Hospital$Service Emergency, Hospital$Service, Emergency Hospital$Services, Emergency Hospital]
Enzymes|[Enzymes]
enzymology|[enzymes$enzymology]
Malocclusion|[Malocclusion$Malocclusions]
Neutralization Tests|[Neutralization Test$Neutralization Tests$Test, Neutralization$Tests, Neutralization]
Aerosol Dose Form|[Aerosols]
Models, Psychological|[Model, Psychological$Models, Psychological$Psychological Model$Psychological Models$Model, Psychologic$Models, Psychologic$Psychologic Model$Psychologic Models]
Leukemia, Myelocytic, Acute|[Acute Myelocytic Leukemias$Leukemia, Acute Myelocytic$Leukemia, Myelocytic, Acute$Leukemias, Acute Myelocytic$Myelocytic Leukemia, Acute$Myelocytic Leukemias, Acute$Acute Myelocytic Leukemia$Acute Myeloblastic Leukemias$Leukemia, Acute Myeloblastic$Leukemia, Myeloblastic, Acute$Leukemias, Acute Myeloblastic$Myeloblastic Leukemia, Acute$Myeloblastic Leukemias, Acute$Acute Myeloblastic Leukemia$Acute Myelogenous Leukemias$Leukemia, Acute Myelogenous$Leukemia, Myelogenous, Acute$Leukemias, Acute Myelogenous$Myelogenous Leukemia, Acute$Myelogenous Leukemias, Acute$Acute Myelogenous Leukemia]
Cycloheximide|[Cycloheximide$2,6-Piperidinedione, 4-(2-(3,5-dimethyl-2-oxocyclohexyl)-2-hydroxyethyl)-, (1S-(1alpha(S*),3alpha,5beta))-$Cicloheximide]
Hyperthyroidism|[Hyperthyroidism]
Protein-Tyrosine Kinase|[Kinase, Protein-Tyrosine$Kinase, Tyrosine Protein$Protein Tyrosine Kinase$Protein-Tyrosine Kinase$Tyrosine Protein Kinase$Kinase, Tyrosine$Tyrosine Kinase$Kinase, Tyrosine-Specific Protein$Protein Kinase, Tyrosine-Specific$Tyrosine Specific Protein Kinase$Tyrosine-Specific Protein Kinase$Kinase, Tyrosylprotein$Tyrosylprotein Kinase$ATP:protein-tyrosine O-phosphotransferase]
Xenograft procedure|[Heterograft$Heterografts$Xenograft$Xenografts$Xenotransplantation$Xenotransplantations$Heterologous Transplantation$Heterologous Transplantations$Transplantation, Heterologous$Transplantations, Heterologous]
Arm|[Arm$Arms]
Anti-Infective Agents|[Agents, Anti-Infective$Anti Infective Agents$Anti-Infective Agents$Agents, Antiinfective$Antiinfective Agents]
Plants, Toxic|[Plants, Toxic]
Multiple Myeloma|[Multiple Myeloma$Multiple Myelomas$Myeloma, Multiple$Myelomas, Multiple$Myeloma, Plasma Cell$Myeloma, Plasma-Cell$Myelomas, Plasma-Cell$Plasma-Cell Myeloma$Plasma-Cell Myelomas]
Glycogen|[Glycogen]
Osteoarthritis|[Arthritides, Degenerative$Arthritis, Degenerative$Degenerative Arthritides$Degenerative Arthritis$Osteoarthritides$Osteoarthritis$Osteoarthrosis$Osteoarthroses]
Fetal Blood|[Blood, Fetal$Bloods, Fetal$Fetal Blood$Fetal Bloods]
Health Services Needs and Demand|[Health Services Needs and Demand$Needs and Demand, Health Services]
Congenital Abnormality|[Abnormalities$Abnormality$Birth Defect$Birth Defects$Defect, Birth$Defects, Birth$Abnormalities, Congenital$Abnormality, Congenital$Congenital Abnormalities$Congenital Abnormality$Congenital Defects$Defect, Congenital$Defects, Congenital$Congenital Defect$Deformity$Deformities]
teratologic|[abnormalities$anomalies$teratology]
Physiologic Intraocular Pressure|[Intraocular Pressure$Intraocular Pressures$Pressure, Intraocular$Pressures, Intraocular$Ocular Tension$Ocular Tensions$Tensions, Ocular$Tension, Ocular]
Aldosterone|[Aldosterone$Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11beta)-]
Models, Neurological|[Model, Neurological$Models, Neurological$Neurological Model$Neurological Models$Model, Neurologic$Models, Neurologic$Neurologic Model$Neurologic Models]
Fatal Outcome|[Fatal Outcome$Fatal Outcomes$Outcome, Fatal$Outcomes, Fatal]
Phosphoproteins|[Phosphoproteins]
Superoxide Dismutase|[Erythrocuprein$Hemocuprein$Dismutase, Superoxide$Superoxide Dismutase$Superoxide:superoxide oxidoreductase]
Brain Ischemia|[Encephalopathy, Ischemic$Ischemic Encephalopathies$Ischemic Encephalopathy$Brain Ischemia$Ischemia, Brain$Brain Ischemias]
Theophylline|[1,3 Dimethylxanthine$1,3-Dimethylxanthine$Theophylline$1H-Purine-2,6-dione, 3,7-dihydro-1,3-dimethyl-$3,7-Dihydro-1,3-dimethyl-1H-purine-2,6-dione]
Lithium|[Lithium]
Vasopressins|[Antidiuretic Hormones$Hormones, Antidiuretic$beta Hypophamine$beta-Hypophamine$Vasopressin$Vasopressins]
Eye|[Eye$Eyes]
Neoplasms, Multiple Primary|[Multiple Primary Neoplasm$Multiple Primary Neoplasms$Neoplasm, Multiple Primary$Neoplasms, Multiple Primary$Primary Neoplasm, Multiple$Primary Neoplasms, Multiple$Multiple Primary Neoplasms, Synchronous$Neoplasms, Synchronous Multiple Primary$Synchronous Multiple Primary Neoplasms$Neoplasm, Synchronous$Neoplasms, Synchronous$Synchronous Neoplasm$Synchronous Neoplasms]
Crohn's disease|[Crohn Disease$Crohn's Disease$Crohns Disease]
Crohn's disease of the ileum|[Ileitis, Regional$Ileitis, Terminal]
Acoustic Stimulation|[Acoustic Stimulation$Stimulation, Acoustic$Auditory Stimulation$Stimulation, Auditory]
Hypersensitivity, Delayed|[Delayed Hypersensitivities$Delayed Hypersensitivity$Hypersensitivities, Delayed$Hypersensitivity, Delayed$Hypersensitivities, Tuberculin-Type$Hypersensitivity, Tuberculin-Type$Tuberculin Type Hypersensitivity$Tuberculin-Type Hypersensitivities$Tuberculin-Type Hypersensitivity$Hypersensitivity, Tuberculin Type$Hypersensitivity, Type IV$Type IV Hypersensitivity$Hypersensitivities, Type IV$Type IV Hypersensitivities]
Femur|[Femur$Femurs]
Energy Intake|[Caloric Intake$Energy Intake]
Blood Vessels|[Blood Vessels$Vessel, Blood$Vessels, Blood$Blood Vessel]
Methylation|[Methylation$Methylations]
Drosophila|[Drosophila$Drosophila Fruit Flies$Drosophila Fruit Fly$Fruit Flies, Drosophila$Fruit Fly, Drosophila]
Psychomotor Performance|[Performance, Psychomotor$Performances, Psychomotor$Psychomotor Performance$Psychomotor Performances]
Vagina|[Vagina$Vaginas]
Vaginal Diseases|[Disease, Vaginal$Diseases, Vaginal$Vaginal Disease$Vaginal Diseases]
Birds|[Bird$Birds]
Intestinal Obstruction|[Ileus$Intestinal Obstruction$Intestinal Obstructions$Obstruction, Intestinal$Obstructions, Intestinal]
Physiologic Thermoregulation|[Body Temperature Regulation$Body Temperature Regulations$Regulation, Body Temperature$Regulations, Body Temperature$Temperature Regulation, Body$Temperature Regulations, Body$Thermoregulation$Thermoregulations]
Membranes|[Membrane$Membranes]
Environment|[Environment$Environments]
Arthritis|[Arthritides$Arthritis]
Isoelectric Focusing|[Electrofocusing$Focusing, Isoelectric$Isoelectric Focusing]
Behavior Therapy|[Behavior Modification$Behavior Modifications$Modification, Behavior$Modifications, Behavior$Behavior Therapies$Behavior Therapy$Therapies, Behavior$Therapy, Behavior$Conditioning Therapies$Conditioning Therapy$Therapies, Conditioning$Therapy, Conditioning]
Patient Satisfaction|[Patient Satisfaction$Satisfaction, Patient]
Kidney Tubules|[Kidney Tubule$Kidney Tubules$Tubule, Kidney$Tubules, Kidney]
Endotoxins|[Endotoxins]
Ultracentrifugation|[Ultracentrifugation]
Dactinomycin|[Actinomycin D$Dactinomycin$Meractinomycin]
Low-Density Lipoproteins|[beta Lipoproteins$beta-Lipoproteins$LDL Lipoproteins$Lipoproteins, LDL$Low Density Lipoproteins$Low-Density Lipoproteins$Lipoproteins, Low-Density]
Psychotic Disorders|[Psychoses$Disorder, Psychotic$Disorders, Psychotic$Psychotic Disorder$Psychotic Disorders]
Biological Availability|[Bioavailabilities$Bioavailability$Availabilities, Physiologic$Physiologic Availabilities$Availabilities, Biologic$Availabilities, Biological$Biologic Availabilities$Biological Availabilities$Availability, Biologic$Availability, Biological$Biologic Availability$Biological Availability$Availability, Physiologic$Physiologic Availability]
